palabra;pinyin;significado
面试 ; mia4n shi4 ; entrevistar
一下  ; yi2 xia4 ; una vez
中文 ; zho1ng we2n ; lengua china
杂志 ; za2 zhi4 ; revista
小说 ; xia3o shuo1 ; novela
画报 ; hua4 ba4o ; revista ilustrada
电视 ; dia4n shi4 ; televisión
笔试 ; bi3 shi4 ; examen escrito
口试 ; ko3 shi4 ; examen oral
考试 ; ka3o shi4 ; examen, examinar
考 ; ka3o ; examinar
成绩 ; che2ng ji4 ; éxito, resultado
翻译 ; fa1n yi4 ; traducir, traducción
词典 ; ci2 dia3n ; diccionario
辅导 ; fu3 da3o ; atender (consultas)
复习 ; fu4 xi2 ; repasar
多 ; duo1 ; ¿cuánto?
长 ; cha2ng ; largo
谈话 ; ta2n hua4 ; conversar
用 ; yo4ng ; usar
硬件 ; yi4ng jia4n ; hardware
软件 ; rua3n jia4n ; software
大学 ; da4 xue2 ; universidad
毕业 ; bi4 ye4 ; graduarse
计算机 ; ji4 sua4n ji1 ; ordenador
专业 ; zhua1n ye4 ; carrera
秘书 ; mi4 shu1 ; secretario
合同 ; he2 tong0 ; contrato
同意 ; to2ng yi4 ; estar de acuerdo
通知 ; to1ng zhi1 ; aviso, avisar
职员 ; zhi2 yua2n ; empleado
英文 ; yi1ng we2n ; lengua inglesa
美国 ; me3i guo2 ; EEUU
小时 ; xia3o shi2 ; hora
服务 ; fu2 wu4 ; servir
接着 ; jie1 zhe0 ; continuar
继续 ; ji4 xu4 ; seguir
技术 ; ji4 shu4 ; técnica
计划 ; ji4 hua4 ; plan
教育 ; jia4o yu4 ; educar
解决 ; jie3 jue2 ; solucionar
经济 ; ji1ng ji4 ; economía
科学 ; ke1 xue2 ; ciencia
饭店	;	fa4n dia4n	;	hotel
房间	;	fa3ng jia1n	;	habitación
标准间	;	bia1o zhu3n jia1n	;	habitación estándar
豪华间	;	ha2o hua2 ji1an	;	habitación de lujo
住	;	zhu4	;	ocupar, usar
离	;	li2	;	de
机场	;	ji1 cha3ng	;	aeropuerto
远	;	yua3n	;	lejano, lejos
从 . . 到	;	co2ng 0 0 da4o	;	desde .. hasta
公里	;	go1ng li3	;	kilómetro
市中心	;	shi4 zho1n xi1n	;	centro urbano
步行	;	bu4 xi2ng	;	caminar
分钟	;	fe1n zho1ng	;	minuto
左右	;	zuo3 yo4u	;	aproximadamente
安排	;	a1n pa2i	;	arreglar
发	;	fa1	;	enviar
传真	;	chua2n zhe1n	;	fax
西安	;	xi1 a1n	;	Xian
开	;	ka1i	;	conducir
车	;	che1	;	vehículo
去年	;	qu4 nia2n	;	el año pasado
套间	;	ta4o jia1n	;	apartamento
办理	;	ba4n li3	;	arreglar, tramitar
车站	;	che1 zha4n	;	estación de vehículos
出租汽车	;	chu1 zu1 qi4 che1	;	taxi
电车	;	dia4n che1	;	tranvía
成	;	che2ng	;	ciudad
出发	;	chu1 fa1	;	partir
方向	;	fa1ng xia4ng	;	dirección
照片	;	zha4o pia4n	;	foto
照	;	zha4o	;	sacar, tomar
男朋友	;	na2n pe2ng you0	;	novio
坐	;	zuo4	;	tomar (vehiculo)
火车	;	huo3 che1	;	tren
第	;	di4	;	prefijo numeral
照相	;	zha34o xia4ng	;	fotografiar
帅	;	shua4i	;	guapo
嘛	;	ma0	;	partícula expletiva
为什么	;	we4i she2n me0	;	por qué
努力	;	nu3 li4	;	aplicado
上海	;	sha4ng ha3i	;	Shanghai
外滩	;	wa4n ta1n	;	Waitan
骑	;	qi4	;	montar
自行车	;	zi4 xi2ng che1	;	bicicleta
摩托车	;	mo4 tuo1 che1	;	motocicleta
三轮车	;	sa1n lu2n che1	;	triciclo
姑娘	;	gu1 niang0	;	chica
关系	;	gua1n xi0	;	relacion/relacionarse
关心	;	gua1n xi1n	;	interesarse por
家庭	;	jia1 ti2ng	;	familia
说话	;	shuo1 hua4	;	hablar
做	;	zuo4	;	hacer
梦	;	me4ng	;	soñar, sueño
怒朋友	;	nu3 pe2ng you0	;	novia
狗	;	go3u	;	perro
叫	;	jia4o	;	llamar
养	;	ya3ng	;	criar
它	;	ta1	;	ello
好像	;	ha3o xia4ng	;	al parecer
没错	;	me2i cuo4	;	exacto
极了	;	ji2 le0	;	sufijo ísimo
这么	;	zhe4 me0	;	tal, tan
汤	;	ta1ng	;	sopa
这样	;	zhe4 ya4ng	;	así
下班	;	xia4 ba1n	;	fin del trabajo
结婚	;	jie2 hu1n	;	casarse
久	;	jiu3	;	largo tiempo
小看	;	xia3o ka4n	;	menospreciar
露	;	lo4u	;	exhibir
一手	;	yi4 sho3u	;	habilidad
定	;	di4ng	;	quedar
名字	;	Mi2ng zi3	;	Mingzi
露西	;	lu4 xi1	;	Rusi
认识	;	re4n shi0	;	conocer
中餐	;	zho1ng ca1n	;	comida china
西餐	;	xi1 ca1n	;	comida occidental
快餐	;	kua4i ca1n	;	comida rápida
餐馆	;	ca1n gua3n	;	restaurante
早餐	;	za3o ca1n	;	desayuno
午餐	;	wu3 ca1n	;	almuerzo
晚餐	;	wa3n ca1n	;	cena
夜宵	;	ye4 xia1o	;	comida ligera (noche)
早点	;	za30 dia3n	;	desayuno
出差	;	chu1 cha1i	;	salir de viaje de negocios
经常	;	ji1ng cha2ng	;	a menudo
挺	;	ti3ng	;	muy
辛苦	;	xi1n ku3	;	duro
连。。也	;	lia2n 0 0 ye3	;	incluso
周末	;	zho1u mo4	;	fin de semana
休息	;	xiu1 xi0	;	descansar
地	;	de0	;	partícula
出来	;	chu1 la2i	;	salir
回	;	hui2	;	regresar
中午	;	zho1ng wu3	;	mediodía
饭	;	fa4n	;	comida
随便	;	sui2 bia4n	;	como sea
一些	;	yi4 xie1	;	alguno que otro
快餐	;	kua4 ca1n 	;	comida rápida
什么	;	she2n me0	;	cosas por el estilo
注意	;	zhu4 yi4	;	tener cuidado con
干	;	ga4n	;	hacer
孩子	;	ha2i zi0	;	hijo
带	;	da4i	;	llevar
出去	;	chu1 qu4	;	salir
不过	;	bu2 guo4	;	pero
爱人	;	a4i ren0	;	marido/mujer
游乐园	;	yo2u le4 yua3n	;	Parque de atracciones
自己	;	zi4 ji3	;	uno mismo
痛痛快快	;	to4ng to4ng kua4i kua4i	;	a nuestas anchas
轻轻松松	;	qi1ng qi1ng so1ng so1ng	;	cómodo
忘	;	wa4ng	;	olvidar
静	;	ji4ng	;	tranquilo
安静	;	a1n ji4ng	;	tranquilo, silencioso
北边	;	be3i bian0	;	norte
必须	;	bi4 xu1	;	tener que
电影	;	dia4n yi3ng	;	cine, película
放假	;	fa4ng jia4	;	tener vacaciones
高兴	;	ga1o xi4ng	;	contento
不要	;	bu2 ya4o	;	no
得到	;	de2 da4o	;	lograr
曾经	;	ce2ng ji1ng	;	acción pasada
熟悉	;	shu2 xi1	;	conocer bien
敢	;	ga3n	;	atreverse
到处	;	da4o chu4	;	por todas partes
跑	;	pa3o	;	recorrer
给	;	ge3i	;	dar
印象	;	yi4n xia4ng	;	impresión
如何	;	ru2 he2	;	qué, como
深	;	she1n	;	profundo
感情	;	ga3n qi2ng	;	sentimiento
所以	;	suo3 yi3	;	por eso
变化	;	bia4n hua4	;	cambio
一样	;	yi2 ya4ng	;	igual
地方	;	di4 fang0	;	sitio
认识	;	re4n shi0	;	conocer 
汽车	;	qi4 che1	;	automovil
越来越	;	yue4 la2i yue4	;	cada vez mas
热情	;	re4 qi2ng	;	cordial
穿着	;	chua1n zhuo2	;	indumentaria
打扮	;	da3 ban0	;	ataviarse
变	;	bia4n	;	cambiar
时髦	;	shi2 ma2o	;	a la moda
菲利普	;	fe1i li4 pu3	;	Felipe
水平	;	shui3 pi2ng	;	nivel
高	;	ga1o	;	alto
同情	;	to2ng qi2ng	;	simpatizar
从前	;	co2ng qia2n	;	antes
丰富	;	fe1n fu4	;	rico, abundante
感到	;	ga3n da4o	;	sentir
欢迎	;	hua1n yi2ng	;	acoger
机会	;	ji1 hui4	;	oportunidad
特意	;	te4 yi4	;	de propio
晨练	;	che2n lia4n	;	ejercicio matinal
早晨	;	za3o chen	;	mañana
注意	;	zhu4 yi4	;	darse cuenta
特别	;	te4 bie3	;	sobre todo
打	;	da3	;	practicar
健美操	;	jia4n me3i ca1o	;	calistenia
跑步	;	pa3o bu4	;	correr
老大爷	;	la3o da4 ye0	;	abuelo
散步	;	sa4n bu4	;	pasear
唱	;	cha4ng	;	cantar
老大妈	;	la3o da4 ma1	;	abuela
大步	;	da4 bu4	;	a grandes pasos
甩	;	shua3i	;	agitar
手臂	;	sho3u bi4	;	brazo
方式	;	fa1ng shi4	;	manera
围	;	we2i	;	rodear
唱歌	;	cha4n ge1	;	cantar canciones
跳舞	;	tia4o wu3	;	bailar
早上	;	za3o shang0	;	amanecer
先	;	xia1n	;	ante todo, primero
操场	;	ca1o cha3ng	;	campo de deporte
网球	;	wa3ng qi2u	;	tenis
决定	;	jue2 di4ng	;	decidir
开始	;	ka1i shi3	;	empezar
太极拳	;	ta4i ji2 qua2n	;	taijiquan
京剧	;	ji1ng ju4	;	ópera de Pekín
病情	;	bi4ng qi2ng	;	estado de la enfermedad
病人	;	bi4n re2n	;	enfermo
搞	;	ga3o	;	hacer
代表	;	da4i bia3o	;	representante
点钟	;	dia3n zho1ng	;	hora
各种	;	ge4 zho3ng	;	toda clase de 
