palabra;pinyin;significado
去 ; qu4 ; ir
远 ; yua3n ; lejos
比较 ; bi3 jia4o ; bastante
怎么 ; ze3n me0 ; ¿Cómo?
坐 ; zuo4 ; tomar (coger) un vehículo
火车 ; huo3 che1 ; tren
附近 ; fu4 ji4n ; cerca de
车站 ; che1 zha4n ; Estación de (tren, autobus, etc)
长城 ; cha2ng che2ng ; Gran Muralla
喂 ; we4i ; ¡Oye! f
你们 ; ni3 men0 ; vosotros
我们 ; wo3 men0 ; nosotros
也 ; ye3 ; también
放心 ; fa4ng xi1n ; preocupado
吧 ; ba0 ; particula expletiva
生活 ; she1ng hu4o ; vida, vivir
习惯 ; xi2 gua4n ; acostumbrarse
没问题 ; me2i we4n ti2 ; No hay problema
学习 ; xue2 xi2 ; estudiar
多 ; duo1 ; mucho
注意 ; zhu4 yi4 ; poner atención
常 ; cha2ng ; frecuente, a menudo
打 ; da3 ; telefonear
好的 ; ha3o de ; de acuerdo, vale
中国 ; zho1ng guo2 ; China
你 ; ni3 ; tu
好 ; ha3o ; bueno
学习 ; xue2 xi2 ; estudiar
什么 ; she2n me0 ; que
我 ; wo3 ; yo
是 ; shi4 ; ser
学生 ; xue2 sheng0 ; estudiante
吗 ; ma0 ; particula expletiva
对 ; dui4 ; correcto
王大伟 ; wa2ng da4 we3i ; Gran David
马丁 ; ma3 Ding1 ; Martín
汉语 ; ha4n yu3 ; chino (lengua)
中国 ; zho1ng guo2 ; China
西班牙语 ; xi1 ba1n ya2 yu3 ; español (idioma)
墨西哥 ; mo4 xi1 ge1 ; México
美国 ; me3i guo2 ; EEUU
英国 ; yi1ng guo2 ; Reino Unido
英语 ; yi1ng yu3 ; inglés
加拿大 ; jia1 na2 da4 ; Canadá
法国 ; fa3 guo2 ; Francia
法语 ; fa3 yu3 ; francés
徳国 ; de2 guo2 ; Alemania
徳语 ; de2 yu3 ; alemán
意大利 ; yi4 da4 li4 ; Italia
俄罗斯 ; e2 luo2 si1 ; Rusia
日本 ; ri4 be3n ; Japón
日语 ; ri4 yu3 ; japonés
阿拉伯语 ; a1 la1 bo2 yu3 ; árabe
这 ; zhe4 ; este
她 ; ta1 ; ella
朋友 ; pe2ng you0 ; amigo
哪 ; na3 ; qué. Cuál
国 ; guo2 ; país
人 ; re2n ; persona
也 ; ye3 ; también
不 ; bu4 ; no
老师 ; la3o shi1 ; profesor
教 ; jia1o ; enseñar
爱琳娜 ; a4i li2n na4 ; Elena
我们 ; wo3 men ; nosotros
你们 ; ni3 men ; vosotros
他 ; ta1 ; el
他们 ; ta1 men ; ellos
她 ; ta1 ; ella
她们 ; ta1 men ; ellas
爸爸 ; ba4 ba0 ; papá
妈妈 ; ma1 ma0 ; mamá
在 ; za4i ; en
哪儿 ; na3 er0 ; dónde
工作 ; go1ng zuo4 ; trabajar
他 ; ta1 ; el
医院 ; yi1 yua4n ; hospital
医生 ; yi1 she1ng ; médico
呢 ; ne0 ; partícula expletiva
谁 ; she2i ; quién
姐姐 ; jie3 jie0 ; hermana mayor
李芳 ; li3 fa1ng ; Li Fang
玛利亚 ; ma3 li4 ya4 ; María
爷爷 ; ye2 ye0 ; Abuelo paterno
奶奶 ; na3i nai0 ; Abuela paterna
哥哥 ; ge1 ge0 ; hermano mayor
弟弟 ; di4 di0 ; hermano menor
妹妹 ; me4i mei0 ; hermana menor
阿姨 ; a1 yi2 ; tia (hermana madre)
叔叔 ; shu1 shu0 ; tio (hermano menor padre)
教授 ; jia4o sho4u ; profesor de universidad, catedrático
系 ; xi4 ; facultad, departamento
和 ; he2 ; y
都 ; do1u ; todos
很 ; he3n ; muy
漂亮 ; pia4o liang0 ; guapa
谢谢 ; xie4 xie0 ;  agradecer
叫 ; jia4o ; llamarse
名字 ; mi2ng zi0 ; nombre
做 ; zuo4 ; hacer
护士 ; hu4 shi0 ; enfermera
忙 ; ma2ng ; ocupado
罗莎 ; luo2 sha1 ; Rosa
教师 ; jia4o shi1 ; profesor
工程师 ; go1ng che2ng shi1 ; ingeniero
经理 ; ji1ng li3 ; gerente
律师 ; lv4 shi1 ; abogado
记者 ; yi4 zhe3 ; periodista
编辑 ; bia1n yi2 ; editor
演员 ; ya3n yua2n ; actor
公务员 ; go1ng wu4 yua2n ; funcionario
运动员 ; yu4n do4ng yua2n ; deportista
职员 ; zhi2 yua2n ; empleado
的 ; de0 ; partícula estructural
衣服 ; yi1 fu0 ; ropa
脏 ; za1ng ; sucio
别 ; bie2 ; no
放 ; fa4ng ; poner
这儿 ; zhe4 er0 ; aquí
洗衣机 ; xi3 yi1 ji1  ; lavadora
里 ; li3 ; dentro
那 ; na4 ; aquel
裤子 ; ku4 zi0 ; pantalones
弟弟 ; di4 di0 ; hermano menor
夹克衫 ; jia1 ke4 sha1n ; chaqueta
大衣 ; da4 yi1 ; abrigo
毛衣 ; ma2o yi1 ; jersey
衬衣 ; che4n yi1 ; camisa
T 恤衫 ; T0 xu4 sha1n ; camiseta
鞋 ; xie2 ; zapatos
岁 ; sui4 ; años
问 ; we4n ; preguntar
说 ; shuo1 ; decir
帽子 ; mao4 zi0 ; sombrero
裙子 ; qu2n zi0 ; falda
喝 ; he1 ; beber
茶 ; cha2 ; té
咖啡 ; ka1  fe1i ; café
还是 ; ha2i shi4 ; o
有 ; yo3u ; haber, tener 
可乐 ; ke3 le4 ; refresco de cola
真 ; zhe1n ; mucho, verdaderamente
对不起 ; du4i bu0 qi1 ; lo siento
没 ; me3i ; no
王玲 ; wa2ng li2ng ; Wang Ling
张明 ; zha1ng mi2ng ; Zhang Ming
啤酒 ; pi2 jiu3 ; cerveza
葡萄酒 ; pu2 ta2o jiu3 ; vino
牛奶 ; niu2 na3i ; leche
矿泉水 ; kua4ng qua2n shui3 ; agua mineral
冰水 ; bi1ng shui3 ; agua mineral
冰激凌 ; bi1ng ji1 li2ng ; helado
面包 ; mia4n ba1o ; pan
鸡蛋 ; ji1 da4n ; huevo
果酱 ; guo3 jia4ng ; mermelada
奶酪 ; na3i la4o ; queso
商店 ; sha1ng dia4n ; tienda
学校 ; xue2 xia4o ; colegio
一 ; yi1 ; uno
个 ; ge4 ; clasificador
小 ; xia3o ; pequeño
附近 ; fu4 ji4n ; cercania, alrededor
大 ; da4 ; grande
后边 ; ho4u bian0 ; detrás de
那儿 ; na4 er0 ; allí
水果 ; shui3 guo3 ; fruta
贵 ; gui4 ; caro
比较 ; bi3 jia4o ; bastante, comparativamente
但是 ; da4n shi4 ; pero
我们 ; wo3 men0 ; nosotros
去 ; qu4 ; ir
买 ; ma3i ; comprar
吧 ; ba0 ; partícula expletiva
苹果 ; pi2ng guo3 ; manzana
香蕉 ; xia1ng jia1o ; plátano
西瓜 ; xi1 gua1 ; sandía
葡萄 ; pu2 tao ; uva
橘子 ; ju2 zi0 ; naranja
樱桃 ; yi1ng ta2o ; cereza
草莓 ; ca3o me2i ; fresa
柠檬 ; ni2ng me2ng ; limón
家 ; jia1 ; casa, familia
常常 ; cha2ng cha2ng ; frecuentemente
手机 ; sho3u ji1 ; tlf. móvil
多少 ; duo1 sha3o ; ¿cuánto?
钱 ; qia2n ; dinero?
蓝色 ; la2n se4 ; azul
两 ; lia3ng ; dos
千 ; qia1n ; mil
百 ; ba3i ; cien
块 ; kua4i ; moneda (coloq.)
太..了 ; ta4i..le0 ; muy/demasiado
灰色 ; hui1 se4 ; gris
牌子 ; pa2i zi0 ; marca comercial
黑色 ; he1i se4 ; negro
白色 ; ba2i se4 ; blanco
红色 ; ho2ng se4 ; rojo
黄色 ; hua2ng se4 ; amarillo
绿色 ; lv4 se4 ; verde
咖啡色 ; ka1 fe1i se4 ; color café
深色 ; she1n se4 ; color oscuro
浅色 ; qia3n se4 ; color claro
多 ; duo1 ; mucho
种 ; zho3ng ; (clasif.)
想 ; xia3ng ; pensar, desear
租 ; zu1 ; alquilar
套 ; ta4o ; clasificador
房子 ; fa2ng zi0 ; piso
合适 ; he2 shi0 ; apropiado
看 ; ka4n ; ver
怎么样 ; ze3n me0 ya4ng ; qué tal
太 ; ta4i ; demasiado
明天 ; mi2ng tia1n ; mañana
能 ; ne2ng ; poder
跟 ; ge1n ; con
一起 ; yi4 qi3 ; juntos
餐厅 ; ca1n ti1ng ; comedor
客厅 ; ke4 ti1ng ; salón
卧室 ; wo4 shi4 ; dormitorio
卫生间 ; we4i she1n gjia1n ; lavabo
沙发 ; sha1 fa1 ; sofá
床 ; chua2ng ; cama
椅子 ; yi3 zi0 ; silla
昨天 ; zuo2 tia1n ; ayer
房间 ; fa2ng jia1n ; habitación
房租 ; fa2ng zu1 ; alquiler
小区 ; xia3o qu1 ; residencial
啊 ; a0 ; partícula expletiva
你们 ; ni3 men0 ; vosotros
就 ; jiu4 ; justamente
楼 ; lo2u ; edificio
几 ; ji3 ; ¿cuántos?; varios
层 ; ce2ng ; clasificador de piso
交通 ; jia1o to1ng ; comunicaciones
方便 ; fa1ng bia4n ; fácil
那边 ; na4 bia1n ; allí
地铁站 ; di4 tie3 zha4n ; estación de metro
银行 ; yi2n ha2ng ; banco
上边 ; sha4ng bian0 ; arriba
下边 ; xia4 bian ; abajo
里边 ; li3 bian ; dentro
外边 ; wa4i bian ; fuera
前边 ; quia2n bian ; delante
后边 ; ho4u bian ; detrás
左边 ; zuo3 bian ; izquierda
右边 ; yo4u bian ; derecha
中间 ; zho1ng jia1n ; centro
对面 ; dui4 mia4n ; en frente
照片 ; zha4o pia4n ; fotografía
后天 ; ho4u tia1n ; pasado mañana
生日 ; she1ng ri4 ; cumpleaños
请 ; qi3ng ; invitar
参加 ; ca1n jia1 ; participar
晚会 ; wa3n hui4 ; fiesta
号 ; ha4o ; día, número
月 ; yue4 ; mes
星期 ; xi1ng qi1 ; semana
晚上 ; wa3n shang0 ; noche
时间 ; shi2 jia1n ; tiempo
点 ; dia3n ; hora
开始 ; ka1i shi3 ; comenzar
半 ; ba4n ; medio
一定 ; yi2 di4ng ; sin falta
来 ; la2i ; venir
今年 ; ji1n nia2n ; este año
多 ; duo1 ; cuánto
属 ; shu3 ; corresponder horóscopo chino
年 ; nia2n ; año
出生 ; chu1 she1ng ; nacer
啊 ; a2 ; ah!
俩 ; lia3 ; (ambos) dos
铜 ; to2ng ; ser (de) igual, (el) mismo
岁 ; sui4 ; edad, años
鼠 ; shu3 ; ratón
牛 ; niu2 ; buey
虎 ; hu3 ; tigre
兔 ; tu4 ; conejo
龙 ; lo3ng ; dragón
蛇 ; she2 ; serpiente
马 ; ma3 ; caballo
羊 ; ya2ng ; carnero
猴 ; ho2u ; mono
鸡 ; ji1 ; gallo
狗 ; go3u ; perro
猪 ; zhu1 ; cerdo
圣诞节 ; She4ng da4n jie2 ; Navidad
现在 ; xia4n za4i ; ahora
了 ; le0 ; part
零 ; li2ng ; part
分 ; fe1n ; minuto
早 ; za3o ; temprano
得 ; de3i ; tener
走 ; zo3u ; caminar
着急 ; zha2o ji2 ; preocupado
还 ; ha2i ; todavía
上课 ; sha4ng ke4 ; tener clase
没关系 ; me2i gua1n xi0 ; no importa
每(天) ; me3i (tia1n) ; cada (día)
才 ; ca2i ; pronto
睡觉 ; shui4 jia4o ; dormir
这么 ; zhe4 me ; tan
晚 ; wa3n ; tarde
早上 ; za3o shang0 ; mañana temprano
起床 ; qi3 chua2ng ; despertarse
觉得 ; jue2 de0 ; parecer
要 ; ya4o ; querer
问 ; we4n ; preguntar
前天 ; qia2n tia1n ; anteayer
昨天 ; zuo2 tian1 ; ayer
今天 ; jin1 tian1 ; hoy
上午 ; sha4ng wu3 ; mañana
中午 ; zho1ng wu3 ; mediodía
下午 ; xia4 wu3 ; tarde
下课 ; xia4 ke4 ; salir de clase
请假 ; qi3n jia4 ; pedir permiso
迟到 ; chi2 da4o ; llegar tarde
同 ; to2ng wu1 ; compañero
办公室 ; ba4n go1ng shi4 ; oficina
张 ; zha1ng ; clasif. (plano)
桌子 ; zhuo1 zi0 ; clasif. (plano)
他们 ; ta1 men0 ; ellos
台 ; ta2i ; clasif. (dispositivos grandes)
部 ; bu4 ; clasif. (dispositivos pequeños)
电脑 ; dia4n na3o ; ordenador
电话 ; dia4n hua4 ; teléfono
传真机 ; chua2n zhe1n ji1 ; fax
复印机 ; fu4 yi4n ji1 ; fotocopiadora
旁边 ; pa2ng bia1n ; al lado
沙发 ; sha1 fa1 ; sofá
条件 ; tia2o jia4n ; condiciones (económicas)
不错 ; bu2 cuo4 ; correcto, muy bueno
画儿 ; hua4 er0 ; cuadro
匹 ; pi3 ; clasif. (caballo)
文件 ; we2n jia4n ; documento
公文包 ; go1ng we2n ba1o ; portafolio
钢笔 ; ga1ng bi3 ; pluma estilográfica
圆珠笔 ; yua2nz hu1 bi3 ; bolígrafo
铅笔 ; qia1n bi3 ; lápiz
签字笔 ; qia1n zi4 bi3 ; bolígrafo (firmar)
打印机 ; da3 yi4n ji1 ; impresora
扫描仪 ; sa3o mia2o yi2 ; escáner
无绳电话 ; wu2 she2ng dia4n hua4 ; teléfono inalámbrico
电话簿 ; dia4n hua4 bu4 ; listín telefónico
最近 ; zui4 ji4n ; últimamente
刚 ; ga1ng ; apenas, recién
时候 ; shi2 hou0 ; momento;  + cuando
有点儿 ; yo3u dia3n er0 ; algo, un poco
紧张 ; ji3n zha1ng ; nervioso
一点儿 ; yi4 dia3n er0 ; un poco
天气 ; tia1n qi4 ; tiempo atmosférico
习惯 ; xi2 gua4n ; acostumbrarse
冬天 ; do1ng tia1n ; invierno
冷 ; le3ng ; frío
菜 ; ca4i ; comida, plato
吃 ; chi1 ; comer
喜欢 ; xi3 huan0 ; gustar
看起来 ; ka4n4qi3 la2i ; parecer, por los que se (te) ve
脸色 ; lia3n se4 ; aspecto físico
累 ; le4i ; cansado
走 ; zo3u ; ir
何赛 ; He2 sa4i ; José
北京 ; be3i ji1ng ; Beijing
春天 ; chu1n tia1n ; primavera
夏天 ; xia4 tia1n ; verano
秋天 ; qiu1 tia1n ; otoño
凉快 ; lia2ng kuai0 ; fresco
热 ; re4 ; cálido
暖和 ; nua3n huo0 ; templado
下雨 ; xia4 yu3 ; llover
下雪 ; xia2 xue3 ; nevar
刮风 ; gua1 fe1ng ; soplar viento
病 ; bi4ng ; estar enfermo
嗓子 ; sa3ng zi0 ; garganta
疼 ; te2ng ; doler
可能 ; ke3 ne2ng ; quizás
感冒 ; ga3n ma4o ; resfriarse
发烧 ; fa1 sha1o ; tener fiebre
不用 ; bu2 yo4ng ; no ser necesario
药 ; ya4o ; medicina
身体 ; she1n ti3 ; cuerpo; salud
只是 ; zhi3 shi4 ; sólo que, simplemente
家 ; jia1 ; casa, familia, especialista
办法 ; ba4n fa3 ; solución, método
餐厅 ; ca1n ti1ng ; restaurante
头疼 ; to2u te2ng ; dolor de cabeza
咳嗽 ; ke2 sou0 ; tos, toser
胃疼 ; we4i te2ng ; dolor de estómago
牙疼 ; ya4 te2ng ; dolor de dientes
拉肚子 ; la1 du4 zi0 ; diarrea
失眠 ; shi1 mia2n ; insomnio
挂号 ; gua4 ha4o ; registrarse en un hospital
内科 ; ne4i ke1 ; medicina interna (general)
外科 ; wa4i ke1 ; cirujía
大夫 ; da4i fu0 ; doctor
头 ; to2u ; cabeza
全身 ; qua2n she1n ; todo el cuerp
不舒服 ; bu4 shu1 fu0 ; indispuesto
给 ; ge3i ; a
检查 ; jia3n cha2 ; examinar
问题 ; we4n ti2 ; problema
常常 ; cha2ng cha2ng ; frecuentemente
加班 ; jia1 ba1n ; trabajar horas extras
锻炼 ; dua4n lia4n ; hacer ejercicio físico
应该 ; yi1ng ga1i ; deber
对 ; dui4 ; para
好处 ; ha3o chu0 ; ventaja, beneficio
重要 ; zho4ng ya4o ; importante
眼睛 ; yan3 jing0 ; ojos
鼻子 ; bi2 zi0 ; nariz
嘴 ; zui3 ; boca
耳朵 ; e3r duo0 ; oreja
脸 ; lia3n ; cara
手 ; sho3u ; mano
脚 ; jia3o ; pie
运动 ; yu4n do4ng ; deporte, hacer deporte
请问 ; qi3ng we4n ; Por favor
好久 ; ha3o jiu3 ; Hace mucho que
见 ; jia4n ; ver
马马虎虎 ; ma3 ma3 hu1 hu1 ; regular
搬 ; ba1n ; mover, trasladar
玩儿 ; wa2n er0 ; divertirse
行 ; xi2ng ; bien, vale
聊天儿 ; lia2o tia1nr ; charlar
等 ; de3ng ; esperar
这样 ; zhe4 ya4ng ; así
再见 ; za4i jia4n ; adios
告诉 ; ga4o su4 ; decir
地址 ; di4 zhi3 ; dirección (domicilio)
喂 ; we4i ; ¡oye! ¡eh!
赵小英 ; Zha4o Xia3o yi1ng ; Zhao Xiao Ying
唱歌 ; cha4ng ge1 ; cantar (una canción)
跳舞 ; tia4o wu3 ; bailar (un baile)
听音乐 ; ti1ng yi1n yue4 ; escuchar música
下棋 ; xia4 qi2 ; jugar al ajedrez
打扑克 ; da3 pu1 ke4 ; jugar al póker
看碟 ; ka4n die2 ; ver un videodisco
 看录像 ; ka4n lu4 xia4ng ; ver una videocinta
下午 ; xia4 wu3 ; la tarde
逛 ; gua4ng ; pasear
打 ; da3 ; dar, golpear, llamar
次 ; ci4 ; vez
事儿 ; shi4r ; asunto
让 ; ra4ng ; pedir, invitar
忘 ; wa4ng ; olvidar
知道 ; zhi1 da4o ; saber
号码 ; ha4o ma3 ; número
昨天 ; zuo2 tia1n ; ayer
挂 ; gua4 ; colgar
门口 ; me2n ko3u ; entrada
件 ; jia4n ; clas. ropa
毛衣 ; ma3o yi1 ; jersey
顶 ; di3ng ; clas. sombreros
帽子 ; ma4o zi ; sombrero
条 ; tia4o ; clas. cosas largas y delgadas
围巾 ; we2i ji1n ; bufanda
身份证号码 ; she1n fe4n zhe4ng ha4o ma3 ; Número Carnet de Identidad
门牌号码 ; me2n pa2i ha4o ma3 ; Número de puerta
房间号码 ; fa2ng jia1n ha4o ma3 ; Número de habitación
信用卡号码 ; xi4n yo4ng ka3 ha4o ma3 ; Número de tarjeta de crédito
驾照号码 ; jia4 zha4o ha4o ma3 ; Número de carnet de conducir
在 ; za4i ; estar (+gerundio)
书 ; shu1 ; libro
呀 ; ya0 ; particula expletiva
正 ; zhe4ng ; justamente
说 ; shuo1 ; decir
打算 ; da3 suan0 ; planear
下 ; xia4 ; próximo
假 ; jia4 ; vacaciones
飞机 ; fe1i ji1 ; avión
票 ; pia4o ; billete
正在 ; zhe4ng za4i ; justamente
考试 ; ka3o shi4 ; tener exámenes
担心 ; da1n xi1n ; temer, preocuparse
陪 ; pe2i ; acompañar
可以 ; ke3 yi3 ; poder
到 ; da4o ; llegar
接 ; jie1 ; recibir
维克多 ; we2i ke4 duo1 ; Víctor
前年 ; qia2n nia2n ; hace dos años
去年 ; qu4 nia2n ; el año pasado
今年 ; ji1n nia2n ; este año
明年 ; mi2ng nia2n ; el próximo año
后年 ; ho4u nia2n ; dentro de dos años
上个月 ; sha4ng ge4 yue4 ; el mes pasado
这个月 ; zhe4 ge4 yue4 ; este mes
下个月 ; xia4 ge4 yue4 ; el próximo mes
上星期 ; sha4ng xi1ng qi1 ; la semana pasada
这星期 ; zhe4 xi1ng qi1 ; esta semana
下星期 ; xia4 xi1ng qi1 ; la próxima semana
快 ; kua4i ; rápido, pronto
要。。了 ; ya4o le0 ; ir a
迟到 ; chi2 da4o ; llegar tarde
来得及 ; la2i de0 ji2 ; hay tiempo
分钟 ; fe1n zho1ng ; minuto
出口 ; chu1 ko3u ; salida
怎么 ; ze3n me0 ; ¿cómo es que ..?
行李 ; xi2ng gli0 ; equipaje
再 ; za2i ; más
一会儿 ; yi2 huia4 er0 ; un momento
机场 ; ji1 cha3ng ; aeropuerto
候机厅 ; ho4u ji1 ti1ng ; sala de espera
入口 ; ru4 ko3u ; entrada
海关 ; ha3i  gua1n ; aduana
安检 ; a1n jia3n ; control de seguridad
出境 ; chu1 ji4ng ; salir del país
入境卡 ; ru4 ji4ng ka3 ; registro de entrada en el país
护照 ; hu4 zha4o ; pasaporte
签证 ; qia11 he4ng ; visado
机场飞 ; ji1   cha3ng fe4i ; tasa del aeropuerto
